road_id,road_admin,name,road_surface,road_class,portion,length
570643,State,I15,Paved,1,0.0005407588663141504,0.349681135701599
563381,State,U91,Paved,4,0.08137583794318749,6.2024787008531685
570643,State,I15,Paved,1,0.0006032129191279374,0.3900669813668745
563433,State,S9,Paved,3,0.020500782375758756,1.877857894905434
570643,State,I15,Paved,1,0.0010657867667532804,0.6891898593439113
563433,State,S9,Paved,3,0.0061582465445343525,0.5640912468834465
570643,State,I15,Paved,1,0.001065791433418758,0.6891928770380922
563433,State,S9,Paved,3,0.007306579144942245,0.6692777417268385
570643,State,I15,Paved,1,0.0005981448734528482,0.38678973511563475
563433,State,S9,Paved,3,0.017776925296226233,1.6283544160800365
573071,State,S10,Paved,4,0.020844960169008688,2.3077339745493406
563438,State,S12,Paved,3,0.0026482741868884847,0.5242737378849875
573061,State,S213,Paved,5,0.02063467023250072,1.5238125125433666
575179,State,S32,Paved,5,0.09405927978136826,3.8468391253241268
563380,State,U89,Paved,3,0.0062248792650381685,4.671585797943416
570643,State,I15,Paved,1,0.00023472832304102177,0.1517868160753048
572526,State,S130,Paved,3,0.026916992865861987,1.850085671240784
570643,State,I15,Paved,1,4.243527193621847e-05,0.02744072267479485
572526,State,S130,Paved,3,0.01811748282600984,1.2452689474782601
570643,State,I15,Paved,1,4.243527193621847e-05,0.02744072267479485
572526,State,S130,Paved,3,0.01811748282600984,1.2452689474782601
570643,State,I15,Paved,1,0.0010739007512527527,0.6944367586396731
573085,State,S153,Paved,5,0.0491741862119335,3.1889940747957803
573084,State,S160,Paved,5,0.1265437632398903,0.7369660124067516
570988,State,S21,Paved,5,0.007554805512075756,1.3089745122867946
570643,State,I15,Paved,1,0.0009807676222647094,0.6342123215667117
573085,State,S153,Paved,5,0.03335706543761156,2.1632383213146777
573084,State,S160,Paved,5,0.10762586033429085,0.6267918630809723
570988,State,S21,Paved,5,0.003001022953646588,0.5199687206814263
570643,State,I15,Paved,1,0.002868162964485134,1.85469447710502
570643,State,I15,Paved,1,0.0014370201185669295,0.9292475045515145
573085,State,S153,Paved,5,0.053496182007544094,3.4692797296329045
573084,State,S160,Paved,5,0.18674517452745862,1.0875672027139516
570988,State,S21,Paved,5,0.007163660250471531,1.2412031875024185
563380,State,U89,Paved,3,0.004981152770054231,3.73820624420242
575636,State,S13,Paved,5,0.0035620731675918473,0.18487754826430516
563380,State,U89,Paved,3,0.0008977743064188312,0.6737527783358536
563380,State,U89,Paved,3,0.0001902832385624406,0.14280188209393743
570643,State,I15,Paved,1,0.004034448706841727,2.6088718902644574
570643,State,I15,Paved,1,0.0034646342534825365,2.2404019906436665
563380,State,U89,Paved,3,0.0011185342699053503,0.8394265313948706
563380,State,U89,Paved,3,0.0007944778322400971,0.5962318624746775
570643,State,I15,Paved,1,0.0023197096631120363,1.500037743299345
570643,State,I15,Paved,1,0.0042112773289965265,2.7232179274198005
570643,State,I15,Paved,1,0.0014705831688845655,0.9509510147180269
563380,State,U89,Paved,3,0.001133073179496391,0.8503375484076114
570643,State,I15,Paved,1,0.0011297571153292768,0.730556216022909
563380,State,U89,Paved,3,0.00037585824889346076,0.2820703796509388
570643,State,I15,Paved,1,0.000484556234574273,0.3133377647085808
570643,State,I15,Paved,1,9.675092884358635e-05,0.06256388343442415
570643,State,I15,Paved,1,0.000813534910334866,0.5260714693737982
570643,State,I15,Paved,1,0.00022303026837942606,0.14422228168782836
563396,State,U40,Paved,3,0.0016528317196417958,0.46512414317195566
563438,State,S12,Paved,3,0.0014870311530728064,0.29438469205066936
563438,State,S12,Paved,3,0.005942605886247427,1.176446236641682
563418,State,S22,Paved,5,0.05555559571469013,3.7318239193519966
573311,State,S62,Paved,5,0.013215147585229717,0.9122718079317539
570643,State,I15,Paved,1,4.798072293100084e-05,0.031026682559374037
572526,State,S130,Paved,3,0.02593095621732143,1.7823124142549782
570643,State,I15,Paved,1,0.0005332052959260178,0.344796627584464
572526,State,S130,Paved,3,0.003009688676733185,0.20686493188403893
563410,State,S56,Paved,4,0.0016841393537646917,0.16669988078674142
570643,State,I15,Paved,1,0.0004938826693804846,0.3193686936831015
572526,State,S130,Paved,3,0.004942537148080276,0.33971540590761223
563410,State,S56,Paved,4,0.003080205975349644,0.3048856781011581
570643,State,I15,Paved,1,0.0019354844981913518,1.251578956205606
563436,State,S143,Paved,4,0.25923313161659467,8.319147170076278
573090,State,S271,Paved,5,0.3014690370191561,2.651182730173703
576077,State,U6,Paved,3,0.010687560262736621,5.142521818937363
573079,State,S133,Paved,5,0.10946437172485668,2.49038505088751
573077,State,S257,Paved,4,0.14476561190144638,16.163757647195347
576077,State,U6,Paved,3,0.05590072519892352,26.897691518258355
573077,State,S257,Paved,4,0.04942066663768964,5.518048573844122
576077,State,U6,Paved,3,0.007107386213274385,3.4198533415351506
585947,State,I84,Paved,1,0.0030034377309503418,0.3845410107823373
575202,State,S167,Paved,4,0.10881664144863847,1.9420023043529198
585947,State,I84,Paved,1,0.0007888402779336951,0.10099807786807696
585947,State,I84,Paved,1,0.011862742537444616,1.5188298924899548
573311,State,S62,Paved,5,0.015377062562759591,1.0615137344729497
574877,State,S268,Paved,4,0.4523096826482129,0.4151533065940264
563380,State,U89,Paved,3,0.00012355578529861145,0.09272492321201671
570643,State,I15,Paved,1,0.0005207149240893937,0.3367197421531882
574898,State,I215,Paved,1,0.011955530845153104,0.5580551662490179
573667,State,S152,Paved,4,0.506885899818876,15.121254880323477
574469,State,S190,Paved,4,0.5452908190415593,4.138111175411792
575107,State,S210,Paved,4,0.04222611010170125,0.9644530169344757
573846,State,S266,Paved,3,0.020697464481833266,0.39248618524294754
574551,State,S71,Paved,3,0.023964517776710714,0.8675141998879383
563380,State,U89,Paved,3,0.0006434108307465011,0.48286059394597736
574898,State,I215,Paved,1,0.02534931245426122,1.1832443878220686
571112,State,I80,Paved,1,0.048567849691470294,15.153011859271862
574725,State,S186,Paved,4,0.0021406675802241276,0.03559722080601253
574551,State,S71,Paved,3,0.07510828206269282,2.7189155995409244
563380,State,U89,Paved,3,0.004223717544100805,3.1697737503708483
574898,State,I215,Paved,1,0.0054136323639564525,0.2526952209824768
573667,State,S152,Paved,4,0.008105116371900709,0.2417891887266683
573908,State,S209,Paved,3,0.00443048967034231,0.09478946455024406
575107,State,S210,Paved,4,0.005775219428882542,0.1319071964769959
573913,State,S48,Paved,4,0.015300972096495804,0.4030775687490507
574551,State,S71,Paved,3,0.0005383378012489144,0.019487798221992217
563380,State,U89,Paved,3,0.00027644398917755966,0.20746294968675066
