railroad_id,railroad_type,portion,length_mile
77327,AC; OVERHEAD,0.1654580299449626,0.5780525789424772
77328,AC; OVERHEAD,0.04803335898705328,0.020988893707668026
77330,AC; OVERHEAD,0.041188223632374184,0.053336499755292956
77331,AC; OVERHEAD,0.006374051835455339,0.030316173460054868
68351,AC; OVERHEAD,0.005384129696087981,0.3225656950091635
68353,AC; OVERHEAD,0.004554121871527487,0.3575304712730775
68354,AC; OVERHEAD,0.004052114541653039,0.347218917337027
68355,AC; OVERHEAD,0.013241034248894805,0.2604412534799572
76508,AC; OVERHEAD,0.030285856615007333,0.32080225633601767
77326,AC; OVERHEAD,0.04735727061637108,0.4632969812756406
76588,AC; OVERHEAD,0.020299733435269415,0.3259522291396865
72275,AC; OVERHEAD,0.006140513333426975,0.9786540166802052
72384,AC; OVERHEAD,0.0005423144122982261,0.09197836354324668
68361,AC; OVERHEAD,0.02589215810806104,1.188143427157616
75301,AC; OVERHEAD,0.04799929981405578,0.4098994274851885
75302,AC; OVERHEAD,0.25253092454140325,1.8098198983139266
75303,AC; OVERHEAD,0.1498785356228987,1.457688118280276
79715,AC; OVERHEAD,0.002938151244503075,1.4362522749283093
79716,AC; OVERHEAD,0.0031831095410337217,1.5559025223519596
75276,AC; OVERHEAD,0.16311389565999274,0.8873276612579591
75277,AC; OVERHEAD,0.11212181287106916,0.1968116669451633
75278,AC; OVERHEAD,0.595501215242557,0.24287540637332028
80256,AC; OVERHEAD,0.40993776624163547,1.0493711591105521
74052,AC; OVERHEAD,0.23076793870322643,0.4131951583323306
80255,AC; OVERHEAD,0.8119548119530542,0.9948671568125876
94496,OVERHEAD,0.050204939200883696,0.2961729890388402
94497,OVERHEAD,0.046016243129608746,0.27158856325884606
76557,AC; OVERHEAD,0.033275344783074916,0.47241764156152044
76559,AC; OVERHEAD,0.012691537987447894,0.07844627293225595
76561,AC; OVERHEAD,0.026478625378511225,0.11006271764471377
76562,AC; OVERHEAD,0.017976326669063798,0.34450094896639033
68328,AC; OVERHEAD,0.012287876509334595,0.1944413394617833
68330,AC; OVERHEAD,0.00843828021592147,0.07069469209740543
68331,AC; OVERHEAD,0.008555724976664012,0.07175125319697476
71936,AC; OVERHEAD,0.3952928223891264,0.9979847408730963
71937,AC; OVERHEAD,0.6282523072603818,1.3903801223019856
71940,AC; OVERHEAD,0.5434987224401726,0.9719494888447375
71941,AC; OVERHEAD,1.0,0.09014677267330741
71946,AC; OVERHEAD,0.3120597924138243,0.9963112703915569
71957,AC; OVERHEAD,0.09855386148280629,0.8652947089169913
71958,AC; OVERHEAD,0.029015080041667664,0.0670165060315309
71959,AC; OVERHEAD,0.011860857596954306,0.06483151421050266
71964,AC; OVERHEAD,0.21329545921151347,0.7552219902695809
71966,AC; OVERHEAD,0.02009951628580407,0.07850590681800253
71967,AC; OVERHEAD,0.07541959242127913,0.23073265990977418
71968,AC; OVERHEAD,0.3490279740162171,0.639467310395432
71969,AC; OVERHEAD,0.3008606939046457,0.07843615609564956
71979,AC; OVERHEAD,0.16131809374416395,1.2600472104325806
77352,AC; OVERHEAD,0.2838988233865639,0.6898175186937606
77358,AC; OVERHEAD,0.21183088435973446,0.9581459721746824
68329,AC; OVERHEAD,0.021624879382958897,0.1868877285765107
71933,AC; OVERHEAD,0.0648673293393199,0.14803264178174957
71930,AC; OVERHEAD,0.09041350286474545,0.17040331216888147
71931,AC; OVERHEAD,0.09320164495835756,0.15248085286465393
77355,AC; OVERHEAD,0.15089912260844557,0.06942242689677675
77359,AC; OVERHEAD,1.0,0.007272053541416945
77360,AC; OVERHEAD,0.9706688017360007,1.9533676545671488
77400,AC; OVERHEAD,0.548875483596771,0.16935149555151321
77327,AC; OVERHEAD,0.11581285064459575,0.4046096584859446
77328,AC; OVERHEAD,3.01780187019326e-05,1.3186736055948246e-05
68353,AC; OVERHEAD,0.0026431354968280635,0.20750465325219258
68354,AC; OVERHEAD,0.002832113134863535,0.24267903741490296
76508,AC; OVERHEAD,0.027553047642971663,0.2918550386459644
77326,AC; OVERHEAD,0.02376643655520594,0.23250745172589293
77327,AC; OVERHEAD,0.11581285064459575,0.4046096584859446
77328,AC; OVERHEAD,3.01780187019326e-05,1.3186736055948246e-05
68353,AC; OVERHEAD,0.0026431354968280635,0.20750465325219258
68354,AC; OVERHEAD,0.002832113134863535,0.24267903741490296
76508,AC; OVERHEAD,0.027553047642971663,0.2918550386459644
77326,AC; OVERHEAD,0.02376643655520594,0.23250745172589293
77327,AC; OVERHEAD,0.11581285064459575,0.4046096584859446
