dam_id,dam_num,name,area_m2,intersect_count,intersect_mile,voltage
227,UT00848,FARMINGTON IRRIGATION - RESERVOIR C,682584.788861496,1,0.259760112717216,138.0
98,UT00171,DAVIS - RICKS CREEK,682540.654004748,1,0.49243757772647306,138.0
230,UT00099,EAST TIMOTHY,646107.486186125,0,,0.0
114,UT00412,CEDAR CITY - GREENS LAKE #2,618101.565334196,0,,0.0
191,UT00527,SALT LAKE CO - FEDERAL HEIGHTS #1A,608507.936230833,4,0.25686854027916284,46.0
104,UT00735,DAVIS/WEBER CANAL - SUNSET POND,596209.424320059,0,,0.0
99,UT00563,DAVIS - SHEPARD CREEK,508100.237765839,0,,0.0
189,UT00530,SALT LAKE CO - SCHOOL POND #14,485372.914521559,0,,0.0
223,UT00443,SANTA CLARA,462714.686696474,1,0.2951032477890226,69.0
179,UT00714,NORTH OGDEN - ORTON PARK,439211.76795563,1,0.5213843981398508,69.0
192,UT00529,SALT LAKE CO - CHANDLER DR #13,432850.1431515,2,0.49612599439412763,46.0
101,UT00701,DEUEL CREEK,418979.990895019,0,,0.0
195,UT00827,CENTERVILLE - BARNARD CREEK (UPPER),411198.122113516,0,,0.0
109,UT00160,KAYSVILLE,409051.158202431,4,0.17625799995005922,230.0
178,UT50324,ST GEORGE CITY - NAVAJO DB,401768.287088515,1,0.1910688304591443,115.0
194,UT00169,DAVIS COUNTY - BARNARD CREEK (LOWER),382380.361523353,0,,0.0
193,UT00818,BOUNTIFUL - NORTH CANYON (SDID #2),381682.787012567,0,,0.0
136,UT00534,SANDY - WILLOW CREEK,360285.463919877,2,0.2397280938833037,46.0
228,UT00857,FARMINGTON IRRIGATION - RESERVOIR B,339152.386919459,1,0.1376094937323564,138.0
200,UT00820,VALLEYVIEW #1 (SDID #4 LOWER),337308.837895654,0,,0.0
187,UT00528,SALT LAKE CO - SHRINERS #12,315454.547339391,2,0.08586133893890996,46.0
126,UT00728,DRAPER PRESSURE IRRIGATION PROJECT,292534.398410235,0,,0.0
90,UT10110,TONY GROVE LAKE DAM,276867.266958075,0,,0.0
39,UT00117,FORSYTH,233127.523401967,0,,0.0
107,UT00063,HAIGHT CREEK (UPPER),230525.34995199,2,0.18897601165790884,138.0
203,UT00817,BOUNTIFUL - OAKRIDGE (SDID #1),204503.603816229,0,,0.0
199,UT00149,IVINS BENCH,154433.193667472,0,,0.0
102,UT00736,DAVIS/WEBER CANAL - KAYSVILLE,148200.664103373,1,0.04806267866949925,69.0
127,UT00749,ENSIGN DOWNS (AKA VICTORY ROAD),146490.121734105,2,0.2261625077196764,46.0
202,UT00713,UTAH COUNTY THISTLE CREEK DEBRIS,134532.790079264,0,,0.0
153,UT00743,LINDON IRRIGATION II,134236.51652525,1,0.1452525884567159,115.0
116,UT00416,CEDAR CITY - GREENS LAKE #4,127116.471573912,0,,0.0
209,UT00580,SOUTH OGDEN CITY BURCH CREEK DEBRIS,126708.590360136,2,0.06245742780827889,138.0
210,UT00732,SOUTH OGDEN CITY BURCH CREEK (GLASMANN),116294.458990288,2,0.14693560392554153,115.0
222,UT50376,SANDY CITY - EAST SANDY ELEMENTARY,102328.461520882,0,,0.0
6,UT00431,MINERSVILLE - BIG WASH DEBRIS,75019.1244293614,0,,0.0
232,UT00639,LINDON SQUAW HOLLOW,51140.4977327907,0,,0.0
197,UT00560,SILVER SPRINGS #2,47633.3259139868,0,,0.0
